trip_id,rider_id,driver_id,vehicle_type,trip_fare,day_type,rating,wait_time,trip_duration
100000,1352,5050,Shared,12.2,Weekday,4,12,48
100001,1012,5069,Shared,64.88,Weekend,5,8,37
100002,1338,5024,Economy,32.61,Weekday,2,9,69
100003,1327,5075,Economy,33.57,Weekday,Not given,18,24
100004,1064,5042,Economy,27.86,Weekend,5,20,49
100005,1088,5082,Shared,47.21,Weekday,4,11,57
100006,1076,5072,Shared,56.72,Weekend,4,4,61
100007,1496,5025,Economy,24.97,Weekday,5,15,29
100008,1394,5064,Economy,59.96,Weekday,5,6,16
100009,1462,5053,Economy,60.92,Weekend,5,18,20
100010,1041,5082,Premium,63.29,Weekend,2,6,69
100011,1133,5026,SUV,29.48,Weekday,5,14,63
100012,1064,5057,Economy,45.36,Weekend,Not given,8,21
100013,1425,5008,Economy,19.37,Weekday,4,9,69
100014,1246,5042,Economy,21.57,Weekday,3,9,14
100015,1317,5017,Premium,12.14,Weekday,Not given,16,45
100016,1221,5043,Premium,11.08,Weekday,Not given,20,28
100017,1193,5012,Premium,42.59,Weekend,Not given,12,51
100018,1111,5026,Shared,60.34,Weekday,Not given,20,39
100019,1006,5022,Shared,56.07,Weekday,4,16,14
100020,1397,5075,Economy,49.92,Weekday,1,7,48
100021,1478,5007,Economy,33.73,Weekday,4,11,68
100022,1041,5026,Premium,24.03,Weekend,4,23,20
100023,1050,5021,Shared,60.09,Weekday,1,21,59
100024,1340,5064,Economy,33.19,Weekend,2,12,63
100025,1112,5061,Economy,24.65,Weekend,5,5,17
100026,1137,5090,Premium,35.77,Weekday,5,16,26
100027,1372,5069,Economy,61.38,Weekend,4,8,62
100028,1414,5089,Economy,60.5,Weekend,5,20,49
100029,1372,5040,Economy,60.94,Weekend,5,14,46
100030,1060,5076,Economy,26.37,Weekday,5,11,33
100031,1419,5078,SUV,35.17,Weekday,3,6,37
100032,1045,5060,Premium,26.8,Weekday,Not given,24,41
100033,1329,5038,Shared,35.04,Weekday,4,14,45
100034,1250,5017,Shared,40.09,Weekday,5,18,47
100035,1276,5083,Shared,9.12,Weekday,5,3,11
100036,1127,5065,Economy,10.97,Weekday,4,7,20
100037,1395,5083,Economy,62.05,Weekday,Not given,24,45
100038,1077,5052,Economy,27.13,Weekday,5,24,73
100039,1224,5012,Economy,30.05,Weekend,5,8,28
100040,1108,5065,Economy,9.26,Weekday,5,21,15
100041,1344,5045,Economy,36.83,Weekend,5,20,13
100042,1385,5081,SUV,55.77,Weekend,Not given,17,23
100043,1106,5084,Economy,45.13,Weekday,5,14,65
100044,1458,5080,Economy,29.25,Weekend,Not given,9,61
100045,1240,5085,Economy,58.06,Weekday,Not given,12,62
100046,1265,5030,Economy,63.67,Weekday,5,13,56
100047,1063,5037,Premium,56.72,Weekday,Not given,7,29
100048,1165,5084,Premium,28.37,Weekend,5,11,34
100049,1468,5072,Economy,35.89,Weekday,Not given,22,55
100050,1100,5035,Economy,23.35,Weekday,4,17,17
